"salinity","phase","salinity_unit","n","weight_mg","dev_weight","dev_weight_type","rate_type","rate","rate_unit","dev_rate","dev_rate_type","temperature","species","family","condition","type","dissolved_oxygen","do_unit","reference"
"45","juvenile","psu","5",152,11,"se","routine",0.063,"mlO2_per_hour",0.006,"se",28,"lutjanus_griseus","lutjanidae","empty_guts","acclimation",70,"percentage"," Wuenschel MJ, Jugovich AR, Hare JA (2005) Metabolic response of juvenile gray snapper (Lutjanus griseus) to temperature and salinity: Physiological cost of different environments. Journal of Experimental Marine Biology and Ecology, 321:145–154."
"5","juvenile","psu","4",178,5,"se","routine",0.085,"mlO2_per_hour",0.006,"se",33,"lutjanus_griseus","lutjanidae","empty_guts","acclimation",70,"percentage"," Wuenschel MJ, Jugovich AR, Hare JA (2005) Metabolic response of juvenile gray snapper (Lutjanus griseus) to temperature and salinity: Physiological cost of different environments. Journal of Experimental Marine Biology and Ecology, 321:145–154."
"15","juvenile","psu","4",177,6,"se","routine",0.088,"mlO2_per_hour",0.004,"se",33,"lutjanus_griseus","lutjanidae","empty_guts","acclimation",70,"percentage"," Wuenschel MJ, Jugovich AR, Hare JA (2005) Metabolic response of juvenile gray snapper (Lutjanus griseus) to temperature and salinity: Physiological cost of different environments. Journal of Experimental Marine Biology and Ecology, 321:145–154."
"25","juvenile","psu","5",173,12,"se","routine",0.086,"mlO2_per_hour",0.005,"se",33,"lutjanus_griseus","lutjanidae","empty_guts","acclimation",70,"percentage"," Wuenschel MJ, Jugovich AR, Hare JA (2005) Metabolic response of juvenile gray snapper (Lutjanus griseus) to temperature and salinity: Physiological cost of different environments. Journal of Experimental Marine Biology and Ecology, 321:145–154."
"35","juvenile","psu","5",158,4,"se","routine",0.088,"mlO2_per_hour",0.005,"se",33,"lutjanus_griseus","lutjanidae","empty_guts","acclimation",70,"percentage"," Wuenschel MJ, Jugovich AR, Hare JA (2005) Metabolic response of juvenile gray snapper (Lutjanus griseus) to temperature and salinity: Physiological cost of different environments. Journal of Experimental Marine Biology and Ecology, 321:145–154."
"45","juvenile","psu","5",213,23,"se","routine",0.116,"mlO2_per_hour",0.002,"se",33,"lutjanus_griseus","lutjanidae","empty_guts","acclimation",70,"percentage"," Wuenschel MJ, Jugovich AR, Hare JA (2005) Metabolic response of juvenile gray snapper (Lutjanus griseus) to temperature and salinity: Physiological cost of different environments. Journal of Experimental Marine Biology and Ecology, 321:145–154."
"30","adult","ppt","8",1e+06,170000,"sd","standard",173.4,"mgO2_per_kg_per_h",11.3,"se",28,"sphyrna_tiburo","sphyrnidae","anesthetized","acute",6,"mg_per_l"," Carlson JK, Parsons GR (2003) Respiratory and hematological responses of the bonnethead shark, Sphyrna tiburo, to acute changes in dissolved oxygen. Journal of Experimental Marine Biology and Ecology, 294:15–26."
"30","adult","ppt","8",1e+06,170000,"sd","standard",163.1,"mgO2_per_kg_per_h",12.2,"se",28,"sphyrna_tiburo","sphyrnidae","anesthetized","acute",5,"mg_per_l"," Carlson JK, Parsons GR (2003) Respiratory and hematological responses of the bonnethead shark, Sphyrna tiburo, to acute changes in dissolved oxygen. Journal of Experimental Marine Biology and Ecology, 294:15–26."
"30","adult","ppt","8",1e+06,170000,"sd","standard",181.1,"mgO2_per_kg_per_h",15,"se",28,"sphyrna_tiburo","sphyrnidae","anesthetized","acute",4,"mg_per_l"," Carlson JK, Parsons GR (2003) Respiratory and hematological responses of the bonnethead shark, Sphyrna tiburo, to acute changes in dissolved oxygen. Journal of Experimental Marine Biology and Ecology, 294:15–26."
"30","adult","ppt","8",1e+06,170000,"sd","standard",174.6,"mgO2_per_kg_per_h",9.4,"se",28,"sphyrna_tiburo","sphyrnidae","anesthetized","acute",3,"mg_per_l"," Carlson JK, Parsons GR (2003) Respiratory and hematological responses of the bonnethead shark, Sphyrna tiburo, to acute changes in dissolved oxygen. Journal of Experimental Marine Biology and Ecology, 294:15–26."
"field_seawater","adult","","10",636000,22000,"se","routine",83.4,"mgO2_per_kg_per_h",5.5,"se",25,"hemiscyllium_ocellatum","hemiscylliidae","empty_guts","none",6.5,"mg_per_l"," Routley MH, Nilsson GE, Renshaw GMC (2002) Exposure to hypoxia primes the respiratory and metabolic responses of the epaulette shark to progressive hypoxia. Comparative Biochemistry and Physiology, Part A, 131:313–321."
"field_seawater","adult","","8",1490,340,"sd","standard",266,"mgO2_per_kg_per_h",33,"sd",29,"apogon_doederleini","apogonidae","empty_guts","none",85,"percentage"," Nilsson GE, Östlund-Nilsson S, Munday PL (2010) Effects of elevated temperature on coral reef fishes: Loss of hypoxia tolerance and inability to acclimate. Comparative Biochemistry and Physiology, Part A, 156:389–393."
"field_seawater","adult","","12",3340,1240,"sd","standard",283,"mgO2_per_kg_per_h",56,"sd",29,"pomacentrus_moluccensis","pomacentridae","empty_guts","none",85,"percentage"," Nilsson GE, Östlund-Nilsson S, Munday PL (2010) Effects of elevated temperature on coral reef fishes: Loss of hypoxia tolerance and inability to acclimate. Comparative Biochemistry and Physiology, Part A, 156:389–393."
"field_seawater","adult","","4",7000,1200,"sd","routine",179,"mgO2_per_kg_per_h",67,"sd",30,"apogon_compressus","apogonidae","empty_guts","none",70,"percentage"," Nilsson GE, Östlund-Nilsson S (2004) Hypoxia in paradise: widespread hypoxia tolerance in coral reef fishes. Biology Letters, 271:S30-S33."
"field_seawater","adult","","1",2200,NA,"","routine",259,"mgO2_per_kg_per_h",NA,"",30,"apogon_cyanosoma","apogonidae","empty_guts","none",70,"percentage"," Nilsson GE, Östlund-Nilsson S (2004) Hypoxia in paradise: widespread hypoxia tolerance in coral reef fishes. Biology Letters, 271:S30-S33."
"field_seawater","adult","","1",4400,NA,"","routine",288,"mgO2_per_kg_per_h",NA,"",30,"apogon_doederleini","apogonidae","empty_guts","none",70,"percentage"," Nilsson GE, Östlund-Nilsson S (2004) Hypoxia in paradise: widespread hypoxia tolerance in coral reef fishes. Biology Letters, 271:S30-S33."
"field_seawater","adult","","1",3700,NA,"","routine",218,"mgO2_per_kg_per_h",NA,"",30,"apogon_exostigma","apogonidae","empty_guts","none",70,"percentage"," Nilsson GE, Östlund-Nilsson S (2004) Hypoxia in paradise: widespread hypoxia tolerance in coral reef fishes. Biology Letters, 271:S30-S33."
"field_seawater","adult","","14",1900,100,"sd","routine",255,"mgO2_per_kg_per_h",17,"sd",30,"apogon_fragilis","apogonidae","empty_guts","none",70,"percentage"," Nilsson GE, Östlund-Nilsson S (2004) Hypoxia in paradise: widespread hypoxia tolerance in coral reef fishes. Biology Letters, 271:S30-S33."
"field_seawater","adult","","14",1500,100,"sd","routine",239,"mgO2_per_kg_per_h",19,"sd",30,"apogon_leptacanthus","apogonidae","empty_guts","none",70,"percentage"," Nilsson GE, Östlund-Nilsson S (2004) Hypoxia in paradise: widespread hypoxia tolerance in coral reef fishes. Biology Letters, 271:S30-S33."
"field_seawater","adult","","1",5800,NA,"","routine",225,"mgO2_per_kg_per_h",NA,"",30,"archamia_fucata","apogonidae","empty_guts","none",70,"percentage"," Nilsson GE, Östlund-Nilsson S (2004) Hypoxia in paradise: widespread hypoxia tolerance in coral reef fishes. Biology Letters, 271:S30-S33."
"field_seawater","adult","","1",1800,NA,"","routine",244,"mgO2_per_kg_per_h",NA,"",30,"cheilodipterus_quinquelineatus","apogonidae","empty_guts","none",70,"percentage"," Nilsson GE, Östlund-Nilsson S (2004) Hypoxia in paradise: widespread hypoxia tolerance in coral reef fishes. Biology Letters, 271:S30-S33."
"field_seawater","adult","","1",7400,NA,"","routine",263,"mgO2_per_kg_per_h",NA,"",30,"cheilodipterus_quinquelineatus","apogonidae","empty_guts","none",70,"percentage"," Nilsson GE, Östlund-Nilsson S (2004) Hypoxia in paradise: widespread hypoxia tolerance in coral reef fishes. Biology Letters, 271:S30-S33."
"field_seawater","adult","","1",7300,NA,"","routine",131,"mgO2_per_kg_per_h",NA,"",30,"sphaeramia_nematoptera","apogonidae","empty_guts","none",70,"percentage"," Nilsson GE, Östlund-Nilsson S (2004) Hypoxia in paradise: widespread hypoxia tolerance in coral reef fishes. Biology Letters, 271:S30-S33."
"field_seawater","adult","","1",15400,NA,"","routine",197,"mgO2_per_kg_per_h",NA,"",30,"acanthochromis_polyacanthus","pomacentridae","empty_guts","none",70,"percentage"," Nilsson GE, Östlund-Nilsson S (2004) Hypoxia in paradise: widespread hypoxia tolerance in coral reef fishes. Biology Letters, 271:S30-S33."
"field_seawater","larvae","","6 to 11",18.7,1.5,"sd","routine",2286,"mgO2_per_kg_per_h",520,"sd",30,"chromis_atripectoralis","pomacentridae","empty_guts","none",70,"percentage"," Nilsson GE, Östlund-Nilsson S, Penfold R, Grutter AS (2007) From record performance to hypoxia tolerance: respiratory transition in damselfish larvae settling on a coral reef. Proceedings of the Royal Society B, 274:79–85."
"field_seawater","larvae","","6 to 11",23.4,2.6,"sd","routine",1526,"mgO2_per_kg_per_h",257,"sd",30,"chromis_atripectoralis","pomacentridae","empty_guts","none",70,"percentage"," Nilsson GE, Östlund-Nilsson S, Penfold R, Grutter AS (2007) From record performance to hypoxia tolerance: respiratory transition in damselfish larvae settling on a coral reef. Proceedings of the Royal Society B, 274:79–85."
"field_seawater","juvenile","","6 to 11",71.5,18.5,"sd","routine",1577,"mgO2_per_kg_per_h",156,"sd",30,"chromis_atripectoralis","pomacentridae","empty_guts","none",70,"percentage"," Nilsson GE, Östlund-Nilsson S, Penfold R, Grutter AS (2007) From record performance to hypoxia tolerance: respiratory transition in damselfish larvae settling on a coral reef. Proceedings of the Royal Society B, 274:79–85."
"field_seawater","larvae","","6 to 11",32.7,4.8,"sd","routine",2201,"mgO2_per_kg_per_h",405,"sd",30,"pomacentrus_ambionensis","pomacentridae","empty_guts","none",70,"percentage"," Nilsson GE, Östlund-Nilsson S, Penfold R, Grutter AS (2007) From record performance to hypoxia tolerance: respiratory transition in damselfish larvae settling on a coral reef. Proceedings of the Royal Society B, 274:79–85."
"field_seawater","larvae","","6 to 11",59,18,"sd","routine",1621,"mgO2_per_kg_per_h",263,"sd",30,"pomacentrus_ambionensis","pomacentridae","empty_guts","none",70,"percentage"," Nilsson GE, Östlund-Nilsson S, Penfold R, Grutter AS (2007) From record performance to hypoxia tolerance: respiratory transition in damselfish larvae settling on a coral reef. Proceedings of the Royal Society B, 274:79–85."
"field_seawater","juvenile","","6 to 11",102.3,20.2,"sd","routine",1145,"mgO2_per_kg_per_h",83,"sd",30,"pomacentrus_ambionensis","pomacentridae","empty_guts","none",70,"percentage"," Nilsson GE, Östlund-Nilsson S, Penfold R, Grutter AS (2007) From record performance to hypoxia tolerance: respiratory transition in damselfish larvae settling on a coral reef. Proceedings of the Royal Society B, 274:79–85."
"field_seawater","larvae","","6 to 11",14.8,2.9,"sd","routine",2553,"mgO2_per_kg_per_h",673,"sd",30,"acanthochromis_polyacanthus","pomacentridae","empty_guts","none",70,"percentage"," Nilsson GE, Östlund-Nilsson S, Penfold R, Grutter AS (2007) From record performance to hypoxia tolerance: respiratory transition in damselfish larvae settling on a coral reef. Proceedings of the Royal Society B, 274:79–85."
"field_seawater","larvae","","6 to 11",44.8,15.5,"sd","routine",2072,"mgO2_per_kg_per_h",304,"sd",30,"acanthochromis_polyacanthus","pomacentridae","empty_guts","none",70,"percentage"," Nilsson GE, Östlund-Nilsson S, Penfold R, Grutter AS (2007) From record performance to hypoxia tolerance: respiratory transition in damselfish larvae settling on a coral reef. Proceedings of the Royal Society B, 274:79–85."
"field_seawater","juvenile","","7",134.4,21.9,"sd","routine",1561,"mgO2_per_kg_per_h",185,"sd",30,"acanthochromis_polyacanthus","pomacentridae","empty_guts","none",70,"percentage"," Nilsson GE, Östlund-Nilsson S, Penfold R, Grutter AS (2007) From record performance to hypoxia tolerance: respiratory transition in damselfish larvae settling on a coral reef. Proceedings of the Royal Society B, 274:79–85."
"field_seawater","adult","","5",8400,2500,"sd","routine",358,"mgO2_per_kg_per_h",84,"sd",30,"chromis_atripectoralis","pomacentridae","empty_guts","none",70,"percentage"," Nilsson GE, Östlund-Nilsson S (2004) Hypoxia in paradise: widespread hypoxia tolerance in coral reef fishes. Biology Letters, 271:S30-S33."
"field_seawater","adult","","6",2500,1100,"sd","routine",555,"mgO2_per_kg_per_h",108,"sd",30,"chromis_viridis","pomacentridae","empty_guts","none",70,"percentage"," Nilsson GE, Östlund-Nilsson S (2004) Hypoxia in paradise: widespread hypoxia tolerance in coral reef fishes. Biology Letters, 271:S30-S33."
"field_seawater","adult","","1",2400,NA,"","routine",384,"mgO2_per_kg_per_h",NA,"",30,"chrysiptera_flavipinnis","pomacentridae","empty_guts","none",70,"percentage"," Nilsson GE, Östlund-Nilsson S (2004) Hypoxia in paradise: widespread hypoxia tolerance in coral reef fishes. Biology Letters, 271:S30-S33."
"field_seawater","adult","","3",4100,1300,"sd","routine",306,"mgO2_per_kg_per_h",37,"sd",30,"dascyllus_aruanus","pomacentridae","empty_guts","none",70,"percentage"," Nilsson GE, Östlund-Nilsson S (2004) Hypoxia in paradise: widespread hypoxia tolerance in coral reef fishes. Biology Letters, 271:S30-S33."
"field_seawater","adult","","6",32100,8800,"sd","routine",216,"mgO2_per_kg_per_h",32,"sd",30,"neoglyphidodon_melas","pomacentridae","empty_guts","none",70,"percentage"," Nilsson GE, Östlund-Nilsson S (2004) Hypoxia in paradise: widespread hypoxia tolerance in coral reef fishes. Biology Letters, 271:S30-S33."
"field_seawater","adult","","6",14900,2400,"sd","routine",162,"mgO2_per_kg_per_h",21,"sd",30,"neoglyphidodon_nigroris","pomacentridae","empty_guts","none",70,"percentage"," Nilsson GE, Östlund-Nilsson S (2004) Hypoxia in paradise: widespread hypoxia tolerance in coral reef fishes. Biology Letters, 271:S30-S33."
"field_seawater","adult","","1",3200,NA,"","routine",493,"mgO2_per_kg_per_h",NA,"",30,"neopomacentrus_azysron","pomacentridae","empty_guts","none",70,"percentage"," Nilsson GE, Östlund-Nilsson S (2004) Hypoxia in paradise: widespread hypoxia tolerance in coral reef fishes. Biology Letters, 271:S30-S33."
"field_seawater","adult","","4",12600,1700,"sd","routine",201,"mgO2_per_kg_per_h",11,"sd",30,"pomacentrus_ambionensis","pomacentridae","empty_guts","none",70,"percentage"," Nilsson GE, Östlund-Nilsson S (2004) Hypoxia in paradise: widespread hypoxia tolerance in coral reef fishes. Biology Letters, 271:S30-S33."
"field_seawater","adult","","1",7800,NA,"","routine",237,"mgO2_per_kg_per_h",NA,"",30,"pomacentrus_bankanensis","pomacentridae","empty_guts","none",70,"percentage"," Nilsson GE, Östlund-Nilsson S (2004) Hypoxia in paradise: widespread hypoxia tolerance in coral reef fishes. Biology Letters, 271:S30-S33."
"field_seawater","adult","","6",7800,3000,"sd","routine",387,"mgO2_per_kg_per_h",85,"sd",30,"pomacentrus_coelestis","pomacentridae","empty_guts","none",70,"percentage"," Nilsson GE, Östlund-Nilsson S (2004) Hypoxia in paradise: widespread hypoxia tolerance in coral reef fishes. Biology Letters, 271:S30-S33."
"field_seawater","adult","","5",3100,600,"sd","routine",516,"mgO2_per_kg_per_h",73,"sd",30,"pomacentrus_lepidogenys","pomacentridae","empty_guts","none",70,"percentage"," Nilsson GE, Östlund-Nilsson S (2004) Hypoxia in paradise: widespread hypoxia tolerance in coral reef fishes. Biology Letters, 271:S30-S33."
"field_seawater","adult","","4",5200,4000,"sd","routine",397,"mgO2_per_kg_per_h",85,"sd",30,"pomacentrus_moluccensis","pomacentridae","empty_guts","none",70,"percentage"," Nilsson GE, Östlund-Nilsson S (2004) Hypoxia in paradise: widespread hypoxia tolerance in coral reef fishes. Biology Letters, 271:S30-S33."
"field_seawater","adult","","1",2200,NA,"","routine",320,"mgO2_per_kg_per_h",NA,"",30,"pomacentrus_philippinus","pomacentridae","empty_guts","none",70,"percentage"," Nilsson GE, Östlund-Nilsson S (2004) Hypoxia in paradise: widespread hypoxia tolerance in coral reef fishes. Biology Letters, 271:S30-S33."
"field_seawater","adult","","1",6900,NA,"","routine",348,"mgO2_per_kg_per_h",NA,"",30,"pomacentrus_philippinus","pomacentridae","empty_guts","none",70,"percentage"," Nilsson GE, Östlund-Nilsson S (2004) Hypoxia in paradise: widespread hypoxia tolerance in coral reef fishes. Biology Letters, 271:S30-S33."
"field_seawater","adult","","1",2400,NA,"","routine",333,"mgO2_per_kg_per_h",NA,"",30,"amblygobius_phalaena","gobiidae","empty_guts","none",70,"percentage"," Nilsson GE, Östlund-Nilsson S (2004) Hypoxia in paradise: widespread hypoxia tolerance in coral reef fishes. Biology Letters, 271:S30-S33."
"field_seawater","adult","","1",1000,NA,"","routine",209,"mgO2_per_kg_per_h",NA,"",30,"amblygobius_rainfordi","gobiidae","empty_guts","none",70,"percentage"," Nilsson GE, Hobbs J-PA, Östlund-Nilsson S (2007) Tribute to P. L. Lutz: respiratory ecophysiology of coral-reef teleosts. The Journal of Experimental Biology 210:1673–1686."
"field_seawater","adult","","1",1500,NA,"","routine",352,"mgO2_per_kg_per_h",NA,"",30,"amblygobius_rainfordi","gobiidae","empty_guts","none",70,"percentage"," Nilsson GE, Hobbs J-PA, Östlund-Nilsson S (2007) Tribute to P. L. Lutz: respiratory ecophysiology of coral-reef teleosts. The Journal of Experimental Biology 210:1673–1686."
"field_seawater","juvenile","","3",230,90,"sd","routine",874,"mgO2_per_kg_per_h",353,"sd",30,"amblygobius_rainfordi","gobiidae","empty_guts","none",70,"percentage"," Nilsson GE, Hobbs J-PA, Östlund-Nilsson S (2007) Tribute to P. L. Lutz: respiratory ecophysiology of coral-reef teleosts. The Journal of Experimental Biology 210:1673–1686."
"field_seawater","adult","","1",1400,NA,"","routine",403,"mgO2_per_kg_per_h",NA,"",30,"asteropteryx_semipunctatus","gobiidae","empty_guts","none",70,"percentage"," Nilsson GE, Östlund-Nilsson S (2004) Hypoxia in paradise: widespread hypoxia tolerance in coral reef fishes. Biology Letters, 271:S30-S33."
"field_seawater","adult","","6",938,247,"sd","routine",250,"mgO2_per_kg_per_h",26,"sd",28,"gobiodon_axillaris","gobiidae","empty_guts","none",70,"percentage"," Nilsson GE, Hobbs J-PA, Östlund-Nilsson S, Munday PL (2007) Hypoxia tolerance and air-breathing ability correlate with habitat preference in coral-dwelling fishes. Coral Reefs, 26:241–248."
"field_seawater","adult","","11",565,103,"sd","routine",260,"mgO2_per_kg_per_h",58,"sd",28,"gobiodon_erythrospilus","gobiidae","empty_guts","none",70,"percentage"," Nilsson GE, Hobbs J-PA, Östlund-Nilsson S, Munday PL (2007) Hypoxia tolerance and air-breathing ability correlate with habitat preference in coral-dwelling fishes. Coral Reefs, 26:241–248."
"field_seawater","adult","","10",1200,200,"sd","routine",248,"mgO2_per_kg_per_h",31,"sd",30,"gobiodon_histrio","gobiidae","empty_guts","none",70,"percentage"," Nilsson GE, Östlund-Nilsson S (2004) Hypoxia in paradise: widespread hypoxia tolerance in coral reef fishes. Biology Letters, 271:S30-S33."
"field_seawater","adult","","5",533,82,"sd","routine",263,"mgO2_per_kg_per_h",83,"sd",28,"gobiodon_histrio","gobiidae","empty_guts","none",70,"percentage"," Nilsson GE, Hobbs J-PA, Östlund-Nilsson S, Munday PL (2007) Hypoxia tolerance and air-breathing ability correlate with habitat preference in coral-dwelling fishes. Coral Reefs, 26:241–248."
"field_seawater","adult","","7",1713,712,"sd","routine",302,"mgO2_per_kg_per_h",58,"sd",28,"gobiodon_unicolor","gobiidae","empty_guts","none",70,"percentage"," Nilsson GE, Hobbs J-PA, Östlund-Nilsson S, Munday PL (2007) Hypoxia tolerance and air-breathing ability correlate with habitat preference in coral-dwelling fishes. Coral Reefs, 26:241–248."
"field_seawater","adult","","6",824,239,"sd","routine",188,"mgO2_per_kg_per_h",28,"sd",28,"gobiodon_acicularis","gobiidae","empty_guts","none",70,"percentage"," Nilsson GE, Hobbs J-PA, Östlund-Nilsson S, Munday PL (2007) Hypoxia tolerance and air-breathing ability correlate with habitat preference in coral-dwelling fishes. Coral Reefs, 26:241–248."
"field_seawater","adult","","6",902,274,"sd","routine",230,"mgO2_per_kg_per_h",35,"sd",28,"gobiodon_ceramensis","gobiidae","empty_guts","none",70,"percentage"," Nilsson GE, Hobbs J-PA, Östlund-Nilsson S, Munday PL (2007) Hypoxia tolerance and air-breathing ability correlate with habitat preference in coral-dwelling fishes. Coral Reefs, 26:241–248."
"field_seawater","adult","","11",718,323,"sd","routine",298,"mgO2_per_kg_per_h",72,"sd",28,"gobiodon_okinawae","gobiidae","empty_guts","none",70,"percentage"," Nilsson GE, Hobbs J-PA, Östlund-Nilsson S, Munday PL (2007) Hypoxia tolerance and air-breathing ability correlate with habitat preference in coral-dwelling fishes. Coral Reefs, 26:241–248."
"field_seawater","adult","","6",689,181,"sd","routine",266,"mgO2_per_kg_per_h",42,"sd",30,"paragobiodon_xanthosomus","gobiidae","empty_guts","none",70,"percentage"," Nilsson GE, Hobbs J-PA, Östlund-Nilsson S, Munday PL (2007) Hypoxia tolerance and air-breathing ability correlate with habitat preference in coral-dwelling fishes. Coral Reefs, 26:241–248."
"field_seawater","adult","","1",28200,NA,"","routine",157,"mgO2_per_kg_per_h",NA,"",30,"valenciennea_strigata","gobiidae","empty_guts","none",70,"percentage"," Nilsson GE, Hobbs J-PA, Östlund-Nilsson S (2007) Tribute to P. L. Lutz: respiratory ecophysiology of coral-reef teleosts. The Journal of Experimental Biology 210:1673–1686."
"field_seawater","adult","","3",7300,1900,"sd","routine",208,"mgO2_per_kg_per_h",34,"sd",30,"atrosalarias_fuscus","blennidae","empty_guts","none",70,"percentage"," Nilsson GE, Östlund-Nilsson S (2004) Hypoxia in paradise: widespread hypoxia tolerance in coral reef fishes. Biology Letters, 271:S30-S33."
"field_seawater","juvenile","","1",290,NA,"","routine",552,"mgO2_per_kg_per_h",NA,"",30,"atrosalarias_fuscus","blennidae","empty_guts","none",70,"percentage"," Nilsson GE, Östlund-Nilsson S (2004) Hypoxia in paradise: widespread hypoxia tolerance in coral reef fishes. Biology Letters, 271:S30-S33."
"field_seawater","adult","","1",1700,NA,"","routine",486,"mgO2_per_kg_per_h",NA,"",30,"paramonacanthus_japonicus","monacanthidae","empty_guts","none",70,"percentage"," Nilsson GE, Östlund-Nilsson S (2004) Hypoxia in paradise: widespread hypoxia tolerance in coral reef fishes. Biology Letters, 271:S30-S33."
